Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
24,56,0,1.2,0.3,0.2,0.5,0.2,0.1
23,42,0,0.3,0.4,0.3,0.5,0.2,0.1
20,20,0,0.5,0.1,0.1,0.3,0.1,0.1
28,73,73,0.5,2.4,2.4,3.5,0.8,0.6
27,78,1,1.1,0.7,0.3,1.8,0.5,0.1
24,72,47,1.9,1.5,0.9,1.5,0.9,0.7
25,78,4,0.8,0.7,0.8,1.1,0.7,0.2
26,23,0,0.3,0.0,0.1,0.3,0.0,0.0
37,65,33,1.7,0.4,1.3,2.6,0.6,1.0
32,66,1,1.9,2.2,0.4,1.3,0.4,0.2
22,28,0,0.6,1.1,0.6,1.3,0.5,0.5
29,71,57,1.9,1.0,0.9,3.5,1.7,1.0
20,6,0,0.2,0.3,0.7,0.0,0.5,0.0
30,48,0,0.0,0.4,1.0,1.0,0.2,0.7
24,7,0,0.0,0.1,0.0,0.0,0.0,0.1
21,63,63,0.5,3.9,2.9,5.0,1.2,0.7
19,10,0,0.1,0.6,0.6,0.7,0.3,0.0
21,62,23,0.1,1.7,2.4,2.6,1.3,0.6
26,70,13,1.0,0.9,0.4,1.1,0.6,0.2
30,79,10,0.0,1.6,3.4,0.5,0.9,0.6
22,57,8,0.3,0.1,0.8,0.9,0.3,0.1
24,68,47,0.9,0.7,0.5,4.1,0.9,0.1
28,71,59,1.3,2.0,1.5,1.7,0.6,0.6
24,46,46,3.4,3.5,0.5,5.5,0.5,0.1
20,69,33,0.5,0.7,0.5,1.3,0.5,0.3
30,76,76,0.4,5.5,3.1,3.5,1.2,2.3
22,79,78,2.4,5.4,0.7,5.1,1.3,0.5
31,50,3,0.2,0.6,0.7,0.7,0.3,0.2
25,10,0,1.1,0.1,0.7,0.5,0.1,0.1
24,19,1,0.4,0.7,0.7,2.8,0.6,0.5
21,63,38,0.3,1.1,2.0,1.9,1.1,0.9
25,82,57,1.9,2.8,0.7,5.5,0.8,0.3
24,76,37,1.6,1.1,0.7,3.2,0.9,0.5
26,71,71,0.2,4.1,2.2,3.9,1.1,0.9
22,57,1,0.9,0.4,0.3,0.9,0.6,0.0
21,59,19,1.4,3.1,1.0,2.0,0.6,0.2
19,63,15,1.0,1.5,0.9,1.7,0.9,0.8
20,61,3,0.2,0.9,0.3,2.7,0.5,0.1
35,14,0,0.0,0.6,0.5,0.4,0.1,0.1
28,82,4,1.2,1.2,1.7,1.3,0.8,0.4
31,79,33,3.0,1.9,0.7,3.1,1.2,0.3
34,57,27,2.3,2.1,0.4,1.7,0.5,0.1
